,0,1,2,3,4,5,6,7,8,9,Date
0,31.5036264278,33.9889644859,32.3542261092,36.875873046,31.4631969532,33.1645978248,25.2354072116,43.4858400363,28.6699211868,40.2369266106,2014-12-31
1,31.1970232235,33.3344292951,32.3921429375,36.3688316217,30.8794488658,32.8328259085,25.590155414,43.4209161952,27.8016101274,39.5155537982,2014-12-31
2,30.6863533877,33.0532522582,32.4106796673,35.5339565104,30.5766378959,32.5629658027,24.3777703165,42.983492949,26.9000140578,38.047882175,2014-12-31
3,30.3779849463,32.5515385501,32.491865772,34.2490248618,29.9099031294,32.4114798386,24.2041556201,42.8366908094,26.3983806884,38.9428647011,2014-12-31
4,29.7239825468,32.5429228619,32.4646236598,34.3634405019,30.1313239398,32.2203750683,23.4795510813,42.7686677837,26.1969798582,36.9775039245,2014-12-31
5,30.3570486843,32.6374716355,32.5013254767,34.6202015382,29.8868859287,32.386850307,23.7968635851,42.7430535738,26.3383269273,38.1464262385,2014-12-31
6,30.691451768,33.088551903,32.4119770695,35.4523701215,30.6061212263,32.7669364947,24.8566318992,43.1340126439,27.3670746668,38.7254662513,2014-12-31
7,32.0198150716,33.7998636575,32.3417749494,37.9574365612,31.5900312388,33.1328315001,25.8624429684,43.5185761406,28.6589507283,40.3417729806,2014-12-31
8,32.9139038072,34.720679933,32.2059670151,39.8707375259,32.7301265135,33.9419496045,27.6688718175,44.244348362,31.0879099356,42.5265238096,2014-12-31
9,35.3357482354,36.5193605742,32.0882628119,43.7148518347,34.34121071,34.7328387678,29.8422455933,45.2707983136,32.8226067359,44.9679602637,2014-12-31
10,35.9780090448,36.9448823244,31.938357468,47.2503759151,36.4522545127,35.8008475977,31.9832258105,45.9227677887,36.548052617,46.7854688335,2014-12-31
11,38.3469980511,39.3043377589,31.7990121379,49.0781000143,36.7203082735,36.3938804657,33.6647626608,46.6423768621,37.6285555666,49.9571571367,2014-12-31
12,38.7603791431,39.1717751519,31.6956035559,52.7999136179,39.0532114535,37.2333481814,35.1338444376,47.3107274922,40.4169676327,50.678719634,2014-12-31
13,40.4811114059,40.531148867,31.6471181573,52.9206365147,38.6125440744,37.3375083035,36.1933396081,47.4847087968,40.5037022131,52.6815675209,2014-12-31
14,39.0456920393,39.6570283996,31.635608443,53.6477721559,39.3026292754,37.5610565109,35.7014000396,47.5870460719,41.0004547061,51.2026250961,2014-12-31
15,39.789056221,40.1009373742,31.7176845664,52.2375785712,38.4070432571,36.9951796169,36.0645024787,47.2244098646,40.2682922202,52.0409267173,2014-12-31
16,37.9906915857,38.9316105222,31.7418865017,51.037958751,37.8557209149,36.981409779,34.2241298091,47.0188588684,38.2369218079,49.0209508094,2014-12-31
17,37.4536370083,38.2966989337,31.8778918575,47.9170892154,36.8096041006,35.9096981223,32.8661408847,46.2762470493,37.509749858,48.8958719813,2014-12-31
18,36.0542458011,37.0451922578,31.9127885904,46.8243302211,35.5544258011,35.8172226761,31.4389189067,45.8809348364,34.7504745748,46.1877335416,2014-12-31
19,35.114433103,36.3851048552,32.1295359186,43.6332870827,34.5935619642,34.6727251276,29.9831687545,45.1266009139,34.6411033403,45.904503571,2014-12-31
20,34.1846306769,35.8494044029,32.0893490243,42.4384670627,33.6447100381,34.5833765061,28.9700595306,44.7173355289,31.1322234549,42.7263305338,2014-12-31
21,33.2552342693,34.7122068035,32.2598430815,39.9726231648,33.0829889567,33.8757443637,27.8862924489,44.3909560142,31.9049233439,43.0442518915,2014-12-31
22,32.7076323766,34.7513089641,32.2063585895,40.3741922468,32.3112210974,33.8165261375,27.2595620491,43.8878613624,29.2746893255,41.1626497835,2014-12-31
23,32.2477289256,34.1527825865,32.3356638464,37.2381711081,31.8521291685,33.297564156,26.0033540956,44.1049809911,30.2697332582,41.3913063692,2014-12-31
24,35.5852701705,36.3998026842,39.0873593646,43.0843401926,39.7126029503,29.7922245671,38.5527792867,42.2673937124,36.6421842906,30.8584718131,2014-12-30
25,35.5499825603,35.5984220695,38.2097091731,42.1103407929,39.1431723067,29.4471040514,37.512614499,42.4598638316,37.0868128232,31.3474083389,2014-12-30
26,34.4214726024,34.8484478002,38.2467252246,42.4405990691,38.5537068009,28.9826026577,37.3069765839,41.2103659856,35.3991749365,29.7582054868,2014-12-30
27,34.7803729168,34.5914383086,37.5357214212,41.7737202785,38.2317518776,29.0340233087,36.5135042798,40.7704756702,36.2365439977,30.6476373075,2014-12-30
28,33.6478291321,33.9022565842,37.8927360646,42.181754034,38.0394932159,28.7259862928,36.7854037485,40.4528967107,34.9658112514,28.897018969,2014-12-30
29,34.7015233133,34.3436620497,37.4024524663,41.9541014991,38.2171485278,28.9778174406,36.1351708246,40.8540902707,36.0588200118,30.4244157535,2014-12-30
30,34.4924423274,35.0470026428,38.5561695799,42.4511517671,38.6484202704,29.1612965739,37.5077604746,42.0656848163,35.5627384691,29.8658445193,2014-12-30
31,36.1281805845,36.7249164872,38.7539126019,42.7816106631,39.8755488122,30.0017813368,38.2975028544,41.9453465011,37.9719784427,31.9492634356,2014-12-30
32,37.0615993545,38.1015648259,40.212984338,43.4727632545,41.8491950605,30.7345628518,39.6166251626,45.1120353539,37.7203154521,32.3971274771,2014-12-30
33,38.955022722,41.9887541461,40.7155441264,44.3322592204,43.4627717897,31.9520405329,41.4967905127,46.6265306818,40.508631975,34.9022086243,2014-12-30
34,40.244622599,43.6551013576,42.7532892032,45.099020555,45.7436879537,32.848605162,43.0727015279,49.1510817698,40.933422181,35.9974177059,2014-12-30
35,42.2313982952,46.3944400074,43.1312955777,46.0006887842,47.4662806448,34.1404944985,44.5052856249,51.7121857119,43.0726718284,38.0038265149,2014-12-30
36,43.2405741105,48.3249472672,44.4259262444,46.4471776909,48.7413971701,34.5882616218,46.0042011509,52.7641595149,43.5265618699,38.3884140077,2014-12-30
37,43.427618512,49.0543452648,44.597641479,47.0127129711,49.5596843015,35.2409547691,46.5674942326,53.6967499579,44.4755874799,39.9729998162,2014-12-30
38,44.0795221301,48.9704955284,44.9186187989,46.6391100768,49.893378763,34.8706300133,46.4020472956,53.5585868269,44.3630947439,39.2780516034,2014-12-30
39,43.163819596,48.4936983921,44.3137659845,46.8922188507,48.8024369534,34.7913535086,46.0986015455,53.1823735794,44.3348140423,39.2605881324,2014-12-30
40,42.3496797098,47.1358250247,43.9032374824,45.7533139248,48.3551464226,34.1034328468,44.9374323286,52.1998112936,42.9227494858,37.9775968265,2014-12-30
41,41.6910044386,45.3785937763,42.7139468112,45.8498442566,45.9848997539,33.4555315229,44.1510583683,50.2408177226,42.3245418285,37.1425234337,2014-12-30
42,39.9810867823,43.4658690086,42.2538940049,44.8245141659,45.2898069439,32.6055729697,42.6672354481,49.0256367182,41.0068893212,35.6732367146,2014-12-30
43,39.3999352086,42.0621036871,41.0008555747,44.5428075413,43.8298044101,32.0891015215,41.4476357179,47.0595999762,39.7241528556,34.7854692811,2014-12-30
44,37.9883499591,39.8778689616,40.7933617168,43.8921945085,42.8924500164,31.2795719079,40.827883793,45.6579093906,39.3390775147,33.942842752,2014-12-30
45,37.2566034294,39.3002002513,39.825218259,43.8490305649,41.6743745302,30.9460085428,39.9004875427,45.3750035514,38.4238417374,33.0706902276,2014-12-30
46,36.6483903642,38.6639241012,39.6826433145,42.980155852,41.179804586,30.6146250981,38.6405214769,43.902799806,38.0983410276,32.4344190177,2014-12-30
